text,intent,domain,split,in_scope
take $40 and transfer it to account a from b,transfer,banking,train,True
transfer $40 from account a to b,transfer,banking,train,True
move $40 from account b to account a,transfer,banking,train,True
put $40 from account a to b,transfer,banking,train,True
take $40 from account a and transfer it to account b,transfer,banking,train,True
i need to transfer from this account to that one,transfer,banking,train,True
need to transfer from one account to my other one,transfer,banking,train,True
i would like to transfer from one account to my second one,transfer,banking,train,True
i need to transfer from one account to my second one,transfer,banking,train,True
i have to transfer from one account to my other one,transfer,banking,train,True
send fifty dollars from me to carrie,transfer,banking,train,True
transfer sixty dollars to dad from my biggest accnt,transfer,banking,train,True
send over a hundred dollars from huntington into saving,transfer,banking,train,True
move 57 dollars from saving into mom,transfer,banking,train,True
transfer two hundred dollars between my portfolio and my money market account,transfer,banking,train,True
i need to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train,True
go ahead and send ten dollars from bank of america to capital one,transfer,banking,train,True
i must transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train,True
i got to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train,True
i want you to send ten dollars from bank of america to capital one,transfer,banking,train,True
i need you to send ten dollars from bank of america to capital one,transfer,banking,train,True
i have to transfer ten dollars from my bank of america account to my capital one account,transfer,banking,train,True
send ten dollars from bank of america to capital one,transfer,banking,train,True
please send ten dollars from bank of america to capital one,transfer,banking,train,True
make a transfer of $200 from my savings account to my checking account,transfer,banking,train,True
please transfer $250 from checking to savings,transfer,banking,train,True
transfer $500 from my checking to my savings,transfer,banking,train,True
please transfer $100 from my checking to my savings account,transfer,banking,train,True
transfer $500 from my money market savings account to my checking account,transfer,banking,train,True
send money from one account to another,transfer,banking,train,True
transfer 200 dollars from paypal to savings,transfer,banking,train,True
transfer $10 from checking to savings,transfer,banking,train,True
send $100 from paypal to my bank,transfer,banking,train,True
please transfer 100 dollars between my amazon payments and savings accounts,transfer,banking,train,True
i would like to make a transfer,transfer,banking,train,True
i want to transfer funds between accounts,transfer,banking,train,True
send over 50 dollars between my shared and not shared accounts,transfer,banking,train,True
whats the quickest way to money from one account to another,transfer,banking,train,True
what is the process to move money from one account to another,transfer,banking,train,True
i need you to send 500 dollars from my high tier account to my regular checking account,transfer,banking,train,True
can you transfer money from a to b,transfer,banking,train,True
send my money between accounts,transfer,banking,train,True
how can i send money from one account to another,transfer,banking,train,True
i need to move money from one account to another,transfer,banking,train,True
send $20 from debit to steve's account,transfer,banking,train,True
send 20 dollars from savings to checking,transfer,banking,train,True
please transfer my funds,transfer,banking,train,True
please transfer $50 to my checking account from credit,transfer,banking,train,True
go ahead and move $200 from amazon to my bank account,transfer,banking,train,True
help me move my money,transfer,banking,train,True
i need my money to be moved,transfer,banking,train,True
help me move my money please,transfer,banking,train,True
i need to move my money,transfer,banking,train,True
move my money please,transfer,banking,train,True
i would like to transfer $5 from savings to checking,transfer,banking,train,True
transfer $5 from savings to checking,transfer,banking,train,True
can you transfer $5 from savings to checking,transfer,banking,train,True
send $5 from savings to checking,transfer,banking,train,True
please transfer $5 from savings to checking,transfer,banking,train,True
please switch $s checking to mortage,transfer,banking,train,True
please transfer $s from saving to checking,transfer,banking,train,True
could you transfer $x from saving to checking,transfer,banking,train,True
help me transfer $x from credit to debit,transfer,banking,train,True
please transfer $x from checking to saving,transfer,banking,train,True
transfer money to another account,transfer,banking,train,True
requesting money transfer between accounts,transfer,banking,train,True
transfer money from this account to that account,transfer,banking,train,True
can you transfer money from my account,transfer,banking,train,True
money transfer request,transfer,banking,train,True
send 100 dollars from checking to savings,transfer,banking,train,True
transfer 100 dollars checking to savings,transfer,banking,train,True
transfer 100 dollars between checking and savings,transfer,banking,train,True
take 100 dollars from checking and send it to savings,transfer,banking,train,True
move 100 dollars from checking to savings,transfer,banking,train,True
can we wire some money over to the other account i have,transfer,banking,train,True
time to move some cash from one account to another,transfer,banking,train,True
i need to throw some money into that other account,transfer,banking,train,True
let's send some money to another account,transfer,banking,train,True
i want to initiate a transfer from one account to the other,transfer,banking,train,True
transfer money from one place to another,transfer,banking,train,True
move money from one account to another,transfer,banking,train,True
transfer between two accounts,transfer,banking,train,True
make a transfer between accounts,transfer,banking,train,True
send money to another account,transfer,banking,train,True
i need ten dollars sent from b of a to washington mutual,transfer,banking,train,True
transfer fifty dollars between my chase and bank of america account,transfer,banking,train,True
deposit ten bucks from my chase account to my ally account,transfer,banking,train,True
put a hundred dollars in my ally account from bluebird,transfer,banking,train,True
i want seventy bucks transferred from b of a to chase,transfer,banking,train,True
can i initiate a one-time transfer from my savings account to my money market account,transfer,banking,train,True
please set a 4 minute timer,timer,utility,train,True
please set a timer for 6 minutes,timer,utility,train,True
set a timer for 5 minutes,timer,utility,train,True
i need a 7 minute timer,timer,utility,train,True
i need to set the timer for two minutes,timer,utility,train,True
can you set a timer for me for fifteen minutes starting now,timer,utility,train,True
start the timer now and stop at thirty minutes,timer,utility,train,True
i would like you to set the timer to go off in ten minutes,timer,utility,train,True
please set a timer for 40 minutes,timer,utility,train,True
wake me in an hour,timer,utility,train,True
please set a timer for cookies,timer,utility,train,True
i want a timer set,timer,utility,train,True
remind me in (x) hours,timer,utility,train,True
set timer for (x) minutes,timer,utility,train,True
i gotta have a 10 minute timer,timer,utility,train,True
please set a timer for me,timer,utility,train,True
i need a 10 minute timer,timer,utility,train,True
i wish to have a 10 minute timer,timer,utility,train,True
i really need to set a timer,timer,utility,train,True
set a new timer for ten seconds,timer,utility,train,True
set a timer for me,timer,utility,train,True
i want a 10 minute timer,timer,utility,train,True
i gotta set a timer,timer,utility,train,True
set a 10 minute timer,timer,utility,train,True
set a brand new timer for eight seconds,timer,utility,train,True
set a ten second timer,timer,utility,train,True
i must set a timer,timer,utility,train,True
set a timer for twelve seconds,timer,utility,train,True
set a timer for fifteen seconds,timer,utility,train,True
tell me when two minutes are up,timer,utility,train,True
start a timer for two minutes,timer,utility,train,True
set a timer for two minutes,timer,utility,train,True
start counting down from two minutes,timer,utility,train,True
can you set a timer for two minutes,timer,utility,train,True
"""please set 5 minute timer",timer,utility,train,True
can u please set the timer for 5 minutes,timer,utility,train,True
set timer of 5 minutes,timer,utility,train,True
"""can u set a timer for 5 minutes",timer,utility,train,True
set a one hour timer,timer,utility,train,True
please set a timer for 20 minutes,timer,utility,train,True
set a five minute timer please,timer,utility,train,True
set a timer for two hours,timer,utility,train,True
can you set a two hour timer,timer,utility,train,True
set the timer for me please,timer,utility,train,True
you need to set the timer for me,timer,utility,train,True
i need you to set timer for me,timer,utility,train,True
please set the timer for me,timer,utility,train,True
i would like a timer set,timer,utility,train,True
can you set a timer,timer,utility,train,True
i need you to set a time,timer,utility,train,True
i need a timer set for 15 minutes,timer,utility,train,True
start a countdown for 20 minutes,timer,utility,train,True
set a timer for 15 minutes,timer,utility,train,True
i'll need you to set a timer for 10 minutes,timer,utility,train,True
let's get a timer set for 5 minutes,timer,utility,train,True
set a timer for 35 minutes,timer,utility,train,True
please start counting down from 10 minutes,timer,utility,train,True
let's get a timer going for 10 minutes,timer,utility,train,True
i need a timer for 20 seconds,timer,utility,train,True
timer 5 minutes,timer,utility,train,True
alert me in 20 minutes,timer,utility,train,True
give me a 10 minute countdown,timer,utility,train,True
let me know in 15 minutes please,timer,utility,train,True
"i'm cooking an egg, timer for 3 mins",timer,utility,train,True
10 minute timer,timer,utility,train,True
start a timer for 10 minutes,timer,utility,train,True
timer 10 minutes,timer,utility,train,True
count down 10 minutes,timer,utility,train,True
make up a timer for me,timer,utility,train,True
create a timer for me,timer,utility,train,True
can you set a timer for me,timer,utility,train,True
i need to set a timer,timer,utility,train,True
set up a timer,timer,utility,train,True
could you start a timer for me,timer,utility,train,True
lets set a timer for me,timer,utility,train,True
please run a timer for me,timer,utility,train,True
set a one minute timer,timer,utility,train,True
set a five minute timer,timer,utility,train,True
set a seven minute timer,timer,utility,train,True
start a timer for me,timer,utility,train,True
set a four minute timer,timer,utility,train,True
set a six minute timer,timer,utility,train,True
how do i set a timer,timer,utility,train,True
i want a timer for 5 minutes,timer,utility,train,True
timer for 5 minutes,timer,utility,train,True
set a timer to go off in 5 minutes,timer,utility,train,True
set timer for 5 minutes,timer,utility,train,True
i want to set a timer,timer,utility,train,True
make a timer for 5 minutes,timer,utility,train,True
please set a timer for,timer,utility,train,True
remind me that time is up in sixty minutes,timer,utility,train,True
set an alarm for nine minutes from now,timer,utility,train,True
tell me when ninety minutes have passed,timer,utility,train,True
please set timer for 4 pm,timer,utility,train,True
want 5 minute timer,timer,utility,train,True
set 30 minute timer,timer,utility,train,True
get a 3 minute timer,timer,utility,train,True
"please, can you set the timer for me",timer,utility,train,True
can you please the timer,timer,utility,train,True
will you set the timer,timer,utility,train,True
what is the meaning of realism,definition,utility,train,True
what is regard mean,definition,utility,train,True
what is the meaning of interorganizational,definition,utility,train,True
what is it is all relative mean,definition,utility,train,True
what is intercontinental mean,definition,utility,train,True
what is the meaning of supercede,definition,utility,train,True
what is let it be mean,definition,utility,train,True
what is the definition of incomprehensible,definition,utility,train,True
what is the meaning of stupendous,definition,utility,train,True
what is the definition of intelligent,definition,utility,train,True
what is good riddance mean,definition,utility,train,True
what is break a leg mean,definition,utility,train,True
what is the meaning of hyperactive,definition,utility,train,True
what is the definition of valor,definition,utility,train,True
what is stupedous meant,definition,utility,train,True
find the meaning of qat,definition,utility,train,True
what the heck is qat,definition,utility,train,True
define qat for me,definition,utility,train,True
read me a definition for qat,definition,utility,train,True
look up qat please,definition,utility,train,True
what might the meaning of altruism be,definition,utility,train,True
exactly what does altruism mean,definition,utility,train,True
what does altruism mean,definition,utility,train,True
what is the definition of altruism,definition,utility,train,True
what is the meaning of altruism,definition,utility,train,True
affiliate's definition is what,definition,utility,train,True
the definition of affiliate is,definition,utility,train,True
what's the meaning of affiliate,definition,utility,train,True
what's affiliate definition,definition,utility,train,True
definition of affiliate is what,definition,utility,train,True
whats the definition of poor,definition,utility,train,True
"describe the meaning of ""dog",definition,utility,train,True
"what does ""money"" mean",definition,utility,train,True
tell me what the word die means,definition,utility,train,True
what is the definition of succumb,definition,utility,train,True
what is the meaning of telepathy,definition,utility,train,True
what does tertiary mean,definition,utility,train,True
tell me the definition of the word redemption,definition,utility,train,True
what is the meaning of the word lux,definition,utility,train,True
what is an ataraxy,definition,utility,train,True
what does the word ataraxy mean,definition,utility,train,True
what does ataraxy mean,definition,utility,train,True
use the word ataraxy in a sentence,definition,utility,train,True
define ataraxy,definition,utility,train,True
what does discretionary mean,definition,utility,train,True
define discretionary,definition,utility,train,True
i want to know the definition of discretionary,definition,utility,train,True
can you give the definition of deiscretionary,definition,utility,train,True
let's hear the definition of iridium,definition,utility,train,True
what's the definition of analogy,definition,utility,train,True
can you tell me the definition of sucrose,definition,utility,train,True
definition of anachronism,definition,utility,train,True
what's the definition of patriarchy,definition,utility,train,True
can you tell me the definition of yttrbium,definition,utility,train,True
please share the definition of episcopalian,definition,utility,train,True
what does saffron mean,definition,utility,train,True
define sonogram,definition,utility,train,True
define thoroughbred,definition,utility,train,True
what's the meaning of a fortnight,definition,utility,train,True
what is an anachronism,definition,utility,train,True
what's the meaning of emulsify,definition,utility,train,True
tell me what cyst means,definition,utility,train,True
what is the definition of flange,definition,utility,train,True
tell me what flange means,definition,utility,train,True
define flange,definition,utility,train,True
flange means what,definition,utility,train,True
what is the meaning of flange,definition,utility,train,True
"what does ""rescind"" mean",definition,utility,train,True
"what is the meaning of word ""rescind",definition,utility,train,True
"is ""rescind"" a word of positive connotation",definition,utility,train,True
"where i can use word ""rescind",definition,utility,train,True
read me the definition of ajar,definition,utility,train,True
what does ajar mean,definition,utility,train,True
can you show me the dictionary definition of ajar,definition,utility,train,True
tell me what monstrosity means,definition,utility,train,True
give me the definition of ajar,definition,utility,train,True
what is the definition of didactic,definition,utility,train,True
i need to know what adumbrate means can you look it up for me now,definition,utility,train,True
i want to know what the word discomfit means,definition,utility,train,True
find what the word diaphanous mean please,definition,utility,train,True
do you know what calumny means  please look it up for me,definition,utility,train,True
find out what the word abrogate means for me,definition,utility,train,True
tell me what edict means,definition,utility,train,True
what does the word abjure mean,definition,utility,train,True
can you tell me what dirge means,definition,utility,train,True
tell me what the word arboreal means,definition,utility,train,True
whats the definition of transmute,definition,utility,train,True
what is the meaning of the word slander,definition,utility,train,True
what is meant by defense,definition,utility,train,True
tell me what the word bounty means,definition,utility,train,True
what does deceive mean,definition,utility,train,True
define zesty,definition,utility,train,True
look up zesty in dictionary,definition,utility,train,True
definition of zesty,definition,utility,train,True
what is the definition of zesty,definition,utility,train,True
what does zesty mean,definition,utility,train,True
tell me what alternative means,definition,utility,train,True
what does alternative mean,definition,utility,train,True
give me the meaning of alternative,definition,utility,train,True
tell me the meaning of alternative,definition,utility,train,True
does life have meaning,meaning_of_life,small_talk,train,True
is being alive the meaning of life,meaning_of_life,small_talk,train,True
what is the real meaning of life,meaning_of_life,small_talk,train,True
what is the answer to the meaning of life,meaning_of_life,small_talk,train,True
is there really an answer to the meaning of life,meaning_of_life,small_talk,train,True
does life have a meaning,meaning_of_life,small_talk,train,True
who can tell me if there's any meaning to life,meaning_of_life,small_talk,train,True
what makes life have any meaning,meaning_of_life,small_talk,train,True
why do you think we're here,meaning_of_life,small_talk,train,True
what's the answer to existence,meaning_of_life,small_talk,train,True
what's the point of sentience,meaning_of_life,small_talk,train,True
what's the purpose of existence,meaning_of_life,small_talk,train,True
what's the purpose of life,meaning_of_life,small_talk,train,True
what's the point of this dumpster fire known as life,meaning_of_life,small_talk,train,True
what is life's meaning,meaning_of_life,small_talk,train,True
is there a greater purpose in life,meaning_of_life,small_talk,train,True
what is our purpose in life,meaning_of_life,small_talk,train,True
how is life in existence,meaning_of_life,small_talk,train,True
what's lifes meaning,meaning_of_life,small_talk,train,True
what exactly is the meaning of life,meaning_of_life,small_talk,train,True
whats lifes meaning exactly,meaning_of_life,small_talk,train,True
what's the meaning of this life,meaning_of_life,small_talk,train,True
what is the meaning of life here,meaning_of_life,small_talk,train,True
does my life have meaning,meaning_of_life,small_talk,train,True
i wish to know the meaning of life,meaning_of_life,small_talk,train,True
i wanna know the meaning of life,meaning_of_life,small_talk,train,True
i wanna know the point of life,meaning_of_life,small_talk,train,True
i need to know the point of life,meaning_of_life,small_talk,train,True
i must know the point of life,meaning_of_life,small_talk,train,True
tell the meaning of life,meaning_of_life,small_talk,train,True
i gotta know the meaning of life,meaning_of_life,small_talk,train,True
what is your take on the meaning of life,meaning_of_life,small_talk,train,True
tell me what is the purpose of life,meaning_of_life,small_talk,train,True
what meaning does life hold,meaning_of_life,small_talk,train,True
what do you think is the meaning of like,meaning_of_life,small_talk,train,True
how do i find the meaning of life,meaning_of_life,small_talk,train,True
what is the purpose of exsistance,meaning_of_life,small_talk,train,True
what is your version on the meaning of life,meaning_of_life,small_talk,train,True
what is your explanation for the meaning of life,meaning_of_life,small_talk,train,True
what is the purpose of creation,meaning_of_life,small_talk,train,True
can you figure out the meaning of life,meaning_of_life,small_talk,train,True
whats your take on the meaning of life,meaning_of_life,small_talk,train,True
can you explain the meaning of life to me,meaning_of_life,small_talk,train,True
what is life all about,meaning_of_life,small_talk,train,True
can you explain the meaning of life,meaning_of_life,small_talk,train,True
"what's the point of life, anyways",meaning_of_life,small_talk,train,True
the meaning of life please,meaning_of_life,small_talk,train,True
the meaning of life,meaning_of_life,small_talk,train,True
i'd like to me told the meaning of life,meaning_of_life,small_talk,train,True
do you know the meaning of life,meaning_of_life,small_talk,train,True
say what the meaning of life is,meaning_of_life,small_talk,train,True
can you tell me life's meaning,meaning_of_life,small_talk,train,True
what's the meaning of my life,meaning_of_life,small_talk,train,True
what is the underlying purpose to life,meaning_of_life,small_talk,train,True
what do you think about the meaning of life,meaning_of_life,small_talk,train,True
what is life’s meaning,meaning_of_life,small_talk,train,True
help me figure out the meaning of life,meaning_of_life,small_talk,train,True
"would you tell me the meaning of life, please",meaning_of_life,small_talk,train,True
"could you tell me the meaning of life, please",meaning_of_life,small_talk,train,True
can you tell me the meaning of life,meaning_of_life,small_talk,train,True
could you tell me the meaning of life,meaning_of_life,small_talk,train,True
"can you tell me the meaning of life, please",meaning_of_life,small_talk,train,True
what does life mean to you,meaning_of_life,small_talk,train,True
is there really a meaning of life,meaning_of_life,small_talk,train,True
is there any meaning to being alive,meaning_of_life,small_talk,train,True
what is the meaning of my life,meaning_of_life,small_talk,train,True
what is the point of life,meaning_of_life,small_talk,train,True
what's the point of everything,meaning_of_life,small_talk,train,True
is there a meaning to life,meaning_of_life,small_talk,train,True
why are we here in life,meaning_of_life,small_talk,train,True
can you share the meaning of life,meaning_of_life,small_talk,train,True
research the meaning of life,meaning_of_life,small_talk,train,True
can you tell me what you think the meaning of life is,meaning_of_life,small_talk,train,True
what is our purpose here on earth,meaning_of_life,small_talk,train,True
is love the meaning of life,meaning_of_life,small_talk,train,True
is there a reason people exist,meaning_of_life,small_talk,train,True
what is the secret or meaning to life,meaning_of_life,small_talk,train,True
what does life mean on a deeper level,meaning_of_life,small_talk,train,True
how would you put what life is all about,meaning_of_life,small_talk,train,True
how would you describe what life means,meaning_of_life,small_talk,train,True
what do people say life means or the meaning is,meaning_of_life,small_talk,train,True
life has what meaning or what's the secret to it,meaning_of_life,small_talk,train,True
where is there meaning in life,meaning_of_life,small_talk,train,True
what is the meaning of this life,meaning_of_life,small_talk,train,True
do you know what the meaning of life is,meaning_of_life,small_talk,train,True
what's life's meaning,meaning_of_life,small_talk,train,True
"does life have a meaning, according to you",meaning_of_life,small_talk,train,True
does this life have a meaning,meaning_of_life,small_talk,train,True
can you share with me your interpretation of the meaning of life,meaning_of_life,small_talk,train,True
what do you think is the meaning of life,meaning_of_life,small_talk,train,True
is there a meaning in life,meaning_of_life,small_talk,train,True
i wonder if you can explain the meaning of life,meaning_of_life,small_talk,train,True
"i always wonder about the meaning of life, can you tell me",meaning_of_life,small_talk,train,True
what's my meaning in life,meaning_of_life,small_talk,train,True
define the meaning of life,meaning_of_life,small_talk,train,True
meaning of life is,meaning_of_life,small_talk,train,True
what is your perception of the meaning of life,meaning_of_life,small_talk,train,True
whats the meaning of life,meaning_of_life,small_talk,train,True
what do you think the meaning of life is,meaning_of_life,small_talk,train,True
what is behind life's meaning,meaning_of_life,small_talk,train,True
how to create a new aaa insurance plan,insurance_change,work,train,True
website to start aaa new insurance plan,insurance_change,work,train,True
aaa insurance start new plan,insurance_change,work,train,True
i want to start a new aaa insurance plan,insurance_change,work,train,True
is new this a good insurance plan for me,insurance_change,work,train,True
what do i do to get new insurance,insurance_change,work,train,True
new insurance is obtainable how,insurance_change,work,train,True
how is new insurance gotten,insurance_change,work,train,True
what do i do for new insurance,insurance_change,work,train,True
"how do i get new insurance, please",insurance_change,work,train,True
how can i obtain new insurance,insurance_change,work,train,True
"how can i obtain new insurance, please",insurance_change,work,train,True
"how can i get new insurance, please",insurance_change,work,train,True
how do i make my insurance policy different,insurance_change,work,train,True
how do i change my insurance policy,insurance_change,work,train,True
how do i modify my insurance policy,insurance_change,work,train,True
how do i alter my insurance policy,insurance_change,work,train,True
how do i get different terms on my insurance policy,insurance_change,work,train,True
help me change my insurance plan,insurance_change,work,train,True
i would like a new insurance plan,insurance_change,work,train,True
connect me with some new insurance,insurance_change,work,train,True
i need a newer insurance plan,insurance_change,work,train,True
my insurance plan needs to be changed,insurance_change,work,train,True
what rental insurance policy do you recommend,insurance_change,work,train,True
help me find a new auto insurance policy,insurance_change,work,train,True
find the best life insurance for me,insurance_change,work,train,True
i need new home owners insurance,insurance_change,work,train,True
i need new health care coverage,insurance_change,work,train,True
how do i change my current insurance to a new plan with lower co-pay,insurance_change,work,train,True
what steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan,insurance_change,work,train,True
i need to change my insurance to a plan with a lower deductible,insurance_change,work,train,True
how do i go about changing my insurance to a new low monthly premium plan,insurance_change,work,train,True
i would like to change my insurance from a ppo to an hmo plan,insurance_change,work,train,True
help me figure out getting new insurance,insurance_change,work,train,True
i would like to get a new insurance plan,insurance_change,work,train,True
i want help adjusting my insurance policy,insurance_change,work,train,True
i am hoping to switch insurance plans,insurance_change,work,train,True
i need help acquiring new insurance,insurance_change,work,train,True
walk me through the process of getting new insurance,insurance_change,work,train,True
i am interested in acquiring new insurance,insurance_change,work,train,True
how can i acquire new insurance,insurance_change,work,train,True
what must i do if i want to adjust my insurance policy,insurance_change,work,train,True
what is the protocol for modifying my insurance policy,insurance_change,work,train,True
i dont like my current insurance plan and want a new one,insurance_change,work,train,True
walk me through making changes to my insurance policy,insurance_change,work,train,True
i need new insurance but dont know how to get it,insurance_change,work,train,True
i am thinking of switching to a different insurance plan,insurance_change,work,train,True
help me modify my insurance policy,insurance_change,work,train,True
could you help me out with a new renters' insurance plan,insurance_change,work,train,True
i'd like a new life insurance plan,insurance_change,work,train,True
can you help me with a new car insurance plan,insurance_change,work,train,True
i need to get a new motorcycle insurance plan,insurance_change,work,train,True
can i get a new pet insurance plan,insurance_change,work,train,True
where do i go to get new insurance,insurance_change,work,train,True
"i need new insurance, how do i get it",insurance_change,work,train,True
how do i apply for new insurance,insurance_change,work,train,True
i would like you to help me get on another united healthcare insurance plan,insurance_change,work,train,True
can you help me get on a new united healthcare insurance plan,insurance_change,work,train,True
i want to find a new united healthcare plan to get on,insurance_change,work,train,True
i'd like to get on a new united healthcare plan,insurance_change,work,train,True
i need to get on a new united healthcare insurance plan,insurance_change,work,train,True
help make changes to my insurance policy,insurance_change,work,train,True
i must switch to a new insurance plan,insurance_change,work,train,True
i need help to make changes to my insurance policy,insurance_change,work,train,True
i gotta switch to a new insurance plan,insurance_change,work,train,True
help me make changes to my insurance policy,insurance_change,work,train,True
i need to switch to a new insurance plan,insurance_change,work,train,True
i really need to switch to a new insurance plan,insurance_change,work,train,True
i would like to make changes to my insurance policy,insurance_change,work,train,True
i need to make changes to my insurance policy,insurance_change,work,train,True
i shall switch to a new insurance plan,insurance_change,work,train,True
how do i update my insurance,insurance_change,work,train,True
how can i get new insurance,insurance_change,work,train,True
how can i find out about new insurance,insurance_change,work,train,True
i need to find new insurance,insurance_change,work,train,True
"i need to get new insurance, how do i do it",insurance_change,work,train,True
can you switch me to a new insurance plan,insurance_change,work,train,True
i would like to switch to a different insurance plan,insurance_change,work,train,True
help me switch to a new insurance plan,insurance_change,work,train,True
switch my insurance plan to a new one,insurance_change,work,train,True
what are my options for new insurance plans,insurance_change,work,train,True
i want to shop for new insurance plans,insurance_change,work,train,True
i would like to switch my insurance plan,insurance_change,work,train,True
